seed,time,node,loss,sgd_steps,total_sgd_steps,details
7,0,SE14,0.7923075556755066,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,SA22,0.7455525994300842,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,SA13,0.7210268974304199,4,4,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,0,SA09,0.7018086910247803,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,SA02,0.7161915302276611,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,SA15,0.7043701708316803,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,SE11,0.7899834960699081,4,4,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,20,SA14,0.7059653699398041,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,SE14,0.7716659307479858,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,SA22,0.734081894159317,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,SE11,0.7483528852462769,4,8,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,20,SA13,0.7193995118141174,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,SA09,0.7162807583808899,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,SA14,0.7106559872627258,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,SE14,0.739536926150322,4,8,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,40,SA12,0.7633461654186249,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,SE11,0.7147513926029205,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,SA13,0.6989067792892456,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,SA09,0.7160629630088806,4,8,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,40,SA02,0.7285188138484955,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,SA15,0.7151055485010147,4,6,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,60,SA14,0.7322006821632385,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,SE14,0.6915116459131241,4,12,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,60,SA12,0.7202800214290619,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,SA22,0.6939084529876709,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,SA15,0.6905830651521683,4,10,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,60,SE11,0.7085956633090973,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,SA03,0.7149775922298431,4,4,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,60,SA13,0.6964922249317169,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,SA09,0.7062489986419678,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,SA02,0.7130213677883148,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,80,SE14,0.6519536226987839,4,16,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,80,SA22,0.7113554775714874,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,80,SA02,0.7049275934696198,4,10,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,80,SA03,0.7149220407009125,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,80,SA13,0.6857188045978546,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,80,SA15,0.687681645154953,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,80,SE11,0.6769405603408813,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,100,SE14,0.6182001233100891,2,18,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,100,SA02,0.6856699585914612,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,100,SA15,0.6904997229576111,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,100,SE11,0.661309152841568,2,16,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,120,SA14,0.7025866210460663,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,120,SE14,0.6002442538738251,4,22,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,120,SA09,0.6882361471652985,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,120,SA22,0.6933651268482208,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,120,SA02,0.6867956519126892,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,140,SA14,0.6898147761821747,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,140,SE14,0.567107543349266,4,26,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,140,SA02,0.6661260575056076,4,18,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,140,SA22,0.6928940117359161,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,140,SA15,0.6842489838600159,4,18,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,140,SE11,0.6295025646686554,6,22,"{""accepted_peers"": 3, ""training_mode"": ""contact""}"
7,140,SA03,0.7101641148328781,4,10,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,140,SA13,0.68526491522789,4,16,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,140,SA09,0.6806048601865768,4,16,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,160,SE14,0.5538632571697235,2,28,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,160,SA22,0.6899220049381256,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,160,SA02,0.6686800122261047,2,20,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,180,SA03,0.6831692159175873,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,180,SA13,0.668452113866806,2,18,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,180,SA02,0.6668347716331482,2,22,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,180,SA15,0.6805175840854645,2,20,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,180,SE11,0.6191071569919586,2,24,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,200,SA14,0.6940938830375671,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,200,SA12,0.7055626213550568,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,200,SA22,0.6911091208457947,2,16,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,200,SA02,0.6723114550113678,2,24,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,200,SA13,0.651911735534668,2,20,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,200,SA09,0.6643039882183075,2,18,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,200,SE11,0.5986827611923218,2,26,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,220,SA14,0.7044214308261871,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,220,SE14,0.5245734304189682,4,32,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,220,SA12,0.7049495875835419,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,220,SA22,0.6825916469097137,4,20,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,220,SA02,0.6561154425144196,4,28,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,220,SA15,0.6692794859409332,4,24,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,220,SA03,0.6819334030151367,4,16,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,220,SA13,0.6609369814395905,2,22,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,220,SA09,0.6760563850402832,2,20,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,240,SE14,0.49543097615242004,2,34,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,240,SE11,0.5783444344997406,2,28,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,260,SA14,0.684532105922699,2,16,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,260,SA12,0.702676922082901,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,260,SA22,0.6527091463406881,6,26,"{""accepted_peers"": 3, ""training_mode"": ""contact""}"
7,260,SA02,0.6456772685050964,2,30,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,260,SA09,0.6498305946588516,4,24,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,260,SA15,0.658044308423996,2,26,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,260,SA03,0.6724832952022552,4,20,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,260,SA13,0.6437702178955078,2,24,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,260,SE11,0.5546901226043701,2,30,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,280,SA22,0.6609500646591187,2,28,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,280,SA02,0.6381759643554688,2,32,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,280,SA03,0.6467585563659668,2,22,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,280,SA09,0.6511308401823044,4,28,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,280,SA13,0.6537323892116547,2,26,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,280,SE11,0.5373238325119019,4,34,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,300,SA14,0.6850186884403229,2,18,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,300,SA12,0.6996382772922516,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,300,SA22,0.63917076587677,2,30,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,300,SA02,0.637100338935852,4,36,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,300,SE11,0.5284242480993271,4,38,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,300,SA03,0.6487259268760681,2,24,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,300,SA09,0.6439120769500732,2,30,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,300,SA15,0.6529437005519867,2,28,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,320,SE14,0.4705049619078636,4,38,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,320,SA15,0.6721031963825226,2,30,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,320,SA22,0.6406243741512299,2,32,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,320,SA02,0.6544136554002762,4,40,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,320,SE11,0.5132111012935638,2,40,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,340,SE14,0.4709949195384979,2,40,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,340,SA22,0.645225316286087,2,34,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,340,SA15,0.6508074849843979,4,34,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,340,SE11,0.481488361954689,2,42,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,340,SA03,0.6394620835781097,2,26,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,340,SA09,0.6535340547561646,2,32,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,340,SA02,0.6265573501586914,2,42,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,360,SA14,0.6700899600982666,2,20,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,360,SA12,0.6766320466995239,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,360,SE11,0.4755048230290413,4,46,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,360,SA03,0.6488852202892303,2,28,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,360,SA13,0.6399190425872803,6,32,"{""accepted_peers"": 3, ""training_mode"": ""contact""}"
7,360,SA02,0.6386356353759766,2,44,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,360,SA09,0.6247363388538361,2,34,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,380,SE14,0.43303707242012024,2,42,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,380,SA03,0.6405310928821564,2,30,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,380,SA09,0.6413635611534119,2,36,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,420,SE14,0.4429987818002701,4,46,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,420,SE11,0.45950376987457275,4,50,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,440,SE14,0.41801878809928894,2,48,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,440,SE11,0.44969581067562103,6,56,"{""accepted_peers"": 3, ""training_mode"": ""contact""}"
7,440,SA03,0.6356659233570099,4,34,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,440,SA13,0.620780736207962,2,34,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,440,SA09,0.6109995543956757,2,38,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,460,SA03,0.6043628305196762,4,38,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,460,SA13,0.609939455986023,2,36,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,460,SA09,0.6400081515312195,2,40,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,460,SA02,0.6790142357349396,2,46,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,460,SA15,0.6401091516017914,2,36,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,460,SE11,0.38478419184684753,2,58,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,480,SE14,0.4081663638353348,2,50,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,480,SA03,0.5950396358966827,2,40,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,480,SA13,0.648726612329483,2,38,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,500,SA14,0.667158842086792,2,22,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,500,SA03,0.5842023938894272,4,44,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,500,SE11,0.4290164113044739,2,60,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,500,SA22,0.6458291560411453,4,38,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,500,SA02,0.6672210246324539,4,50,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,500,SA15,0.6577611416578293,4,40,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,500,SA09,0.60854172706604,2,42,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,520,SA14,0.6572580635547638,2,24,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,520,SA12,0.681905061006546,2,16,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,520,SA22,0.6297401189804077,2,40,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,520,SA02,0.6335568577051163,4,54,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,520,SA03,0.5803391188383102,4,48,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,520,SA13,0.6292052865028381,2,40,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,520,SA09,0.610597550868988,2,44,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,520,SE11,0.4069512337446213,4,64,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,520,SA15,0.6356362998485565,2,42,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,540,SA14,0.6657488942146301,2,26,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,540,SE14,0.38638730347156525,2,52,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,540,SA12,0.6602273285388947,2,18,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,560,SE14,0.3875204473733902,2,54,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,560,SA22,0.6100396811962128,2,42,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,560,SA02,0.6416170299053192,4,58,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,560,SA03,0.6161903142929077,2,50,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,560,SA09,0.6250729858875275,2,46,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,560,SA13,0.6040485501289368,2,42,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,560,SA15,0.6363757848739624,4,46,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,560,SE11,0.4010631889104843,2,66,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,580,SE14,0.4043644070625305,2,56,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,580,SA03,0.5650448203086853,2,52,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,580,SA09,0.5660337507724762,2,48,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,580,SA02,0.5797345638275146,2,60,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,580,SA15,0.6233844459056854,2,48,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,580,SE11,0.4005640149116516,2,68,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,600,SA22,0.6143144369125366,2,44,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,600,SA15,0.623759925365448,2,50,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,600,SA03,0.6070100367069244,4,56,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,600,SA13,0.6032461374998093,4,46,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,600,SA09,0.6437877714633942,4,52,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,620,SE14,0.3918115049600601,4,60,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,620,SE11,0.3865415006875992,6,74,"{""accepted_peers"": 3, ""training_mode"": ""contact""}"
7,620,SA22,0.6235432326793671,2,46,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,620,SA15,0.5942691713571548,4,54,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,620,SA03,0.6076862961053848,4,60,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,620,SA09,0.5956002473831177,4,56,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,620,SA13,0.5800117254257202,2,48,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,640,SA14,0.6492724120616913,4,30,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,640,SE14,0.3744664192199707,2,62,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,640,SA03,0.5561829507350922,2,62,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,640,SA12,0.6656034588813782,2,20,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,640,SA22,0.6286138892173767,2,48,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,640,SA09,0.6043913960456848,2,58,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,660,SE14,0.3954661339521408,2,64,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,660,SA03,0.5601025223731995,2,64,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,660,SA13,0.5943583101034164,4,52,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,660,SA09,0.5941240191459656,2,60,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,680,SA14,0.6463312804698944,2,32,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,680,SA15,0.5913853645324707,4,58,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,680,SE14,0.3601343333721161,2,66,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,680,SA12,0.6564338803291321,2,22,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,680,SA22,0.606033444404602,2,50,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,680,SA03,0.5457631051540375,2,66,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,680,SA13,0.5644707977771759,4,56,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,680,SE11,0.34995561838150024,2,76,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,700,SE14,0.3376733660697937,2,68,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,700,SA22,0.5987888872623444,2,52,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,700,SA02,0.6117116808891296,2,62,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,700,SE11,0.3758404925465584,4,80,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,700,SA03,0.5426281690597534,2,68,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,700,SA09,0.5675002038478851,2,62,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,720,SA14,0.6239405671755472,6,38,"{""accepted_peers"": 3, ""training_mode"": ""contact""}"
7,720,SA12,0.6337763667106628,2,24,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,720,SA13,0.5362214297056198,4,60,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,720,SA02,0.6509939879179001,4,66,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,720,SE14,0.3511725813150406,2,70,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,720,SE11,0.3504233583807945,4,84,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,720,SA03,0.5828942358493805,2,70,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,720,SA15,0.6107842326164246,2,60,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,740,SE14,0.36704641580581665,2,72,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,740,SA22,0.5816313624382019,2,54,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,740,SA15,0.6237998008728027,2,62,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,740,SA03,0.5437283366918564,4,74,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,740,SA13,0.5665429830551147,2,62,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,740,SA09,0.5954706370830536,2,64,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,740,SE11,0.33846499025821686,2,86,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,760,SE11,0.32181215286254883,4,90,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,760,SA22,0.5633184313774109,2,56,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,760,SA15,0.6178449392318726,4,66,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,760,SA03,0.5476154685020447,2,76,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,780,SA22,0.5985066890716553,4,60,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,780,SA03,0.48394638299942017,6,82,"{""accepted_peers"": 3, ""training_mode"": ""contact""}"
7,780,SA02,0.6303723752498627,2,68,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,780,SA09,0.5379998683929443,2,66,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,780,SA15,0.5762961208820343,2,68,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,780,SE11,0.3372277021408081,2,92,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,800,SA14,0.6244810819625854,2,40,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,800,SE14,0.3117566406726837,2,74,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,800,SA12,0.647306501865387,2,26,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,800,SA22,0.5974497944116592,4,64,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,800,SA02,0.6111843138933182,4,72,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,800,SA15,0.5720506608486176,4,72,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,800,SE11,0.3067566901445389,2,94,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,820,SE14,0.3825346305966377,4,78,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,820,SA12,0.6391476094722748,2,28,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,820,SA22,0.5751952826976776,2,66,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,820,SA02,0.6074458062648773,2,74,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,820,SE11,0.3143869787454605,2,96,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,820,SA15,0.6550868153572083,2,74,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,840,SA22,0.5239334404468536,2,68,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,840,SA15,0.6001687347888947,2,76,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,840,SA03,0.5931441485881805,2,84,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,840,SA09,0.585901290178299,6,72,"{""accepted_peers"": 3, ""training_mode"": ""contact""}"
7,840,SA12,0.6339477002620697,2,30,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,840,SA13,0.5849096179008484,2,64,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,860,SA14,0.6195258498191833,2,42,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,860,SA12,0.6397186815738678,2,32,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,860,SE14,0.3047853037714958,2,80,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,860,SA03,0.507115364074707,2,86,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,860,SA09,0.5693204998970032,4,76,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,860,SA13,0.5415969640016556,2,66,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,860,SE11,0.3287994712591171,4,100,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,880,SA02,0.6123048961162567,2,76,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,880,SA15,0.6048005819320679,2,78,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,900,SA14,0.6109762191772461,2,44,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,900,SA12,0.6087472438812256,2,34,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,900,SE14,0.3147248327732086,2,82,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,900,SA22,0.5597591698169708,2,70,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,900,SA02,0.6186619848012924,4,80,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,900,SA15,0.6253790259361267,2,80,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,900,SE11,0.3274194598197937,2,102,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,920,SE14,0.3355730324983597,2,84,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,920,SA22,0.614393413066864,2,72,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
