seed,time,node,split,accuracy,macro_f1
7,0,S11,test,0.4545454680919647,0.20833333333333334
7,0,S13,test,0.27272728085517883,0.23232323232323235
7,0,S15,test,0.27272728085517883,0.24074074074074073
7,0,S16,test,0.27272728085517883,0.25
7,0,S3,test,0.27272728085517883,0.15384615384615385
7,0,S5,test,0.1818181872367859,0.14814814814814814
7,0,S6,test,0.3636363744735718,0.17777777777777778
7,0,S7,test,0.27272728085517883,0.16666666666666666
7,0,S8,test,0.27272728085517883,0.14285714285714285
7,0,S9,test,0.27272728085517883,0.19999999999999998
7,900,S11,test,0.9090909361839294,0.6363636363636364
7,900,S13,test,0.6363636255264282,0.47863247863247865
7,900,S15,test,0.5454545617103577,0.35555555555555557
7,900,S16,test,0.7272727489471436,0.5523809523809523
7,900,S3,test,0.7272727489471436,0.48888888888888893
7,900,S5,test,0.9090909361839294,0.6410256410256411
7,900,S6,test,0.5454545617103577,0.34920634920634924
7,900,S7,test,0.8181818127632141,0.6190476190476191
7,900,S8,test,0.7272727489471436,0.5897435897435898
7,900,S9,test,0.6363636255264282,0.4603174603174603
7,1800,S11,test,0.9090909361839294,0.6363636363636364
7,1800,S13,test,0.6363636255264282,0.4682539682539682
7,1800,S15,test,0.7272727489471436,0.5421245421245421
7,1800,S16,test,0.7272727489471436,0.5299145299145299
7,1800,S3,test,0.7272727489471436,0.48888888888888893
7,1800,S5,test,0.9090909361839294,0.6410256410256411
7,1800,S6,test,0.6363636255264282,0.4468864468864469
7,1800,S7,test,0.8181818127632141,0.6190476190476191
7,1800,S8,test,0.7272727489471436,0.5897435897435898
7,1800,S9,test,0.7272727489471436,0.5333333333333333
7,2700,S11,test,0.9090909361839294,0.6363636363636364
7,2700,S13,test,0.6363636255264282,0.47863247863247865
7,2700,S15,test,0.7272727489471436,0.5421245421245421
7,2700,S16,test,0.7272727489471436,0.5299145299145299
7,2700,S3,test,0.7272727489471436,0.48888888888888893
7,2700,S5,test,0.8181818127632141,0.5740740740740741
7,2700,S6,test,0.7272727489471436,0.5277777777777778
7,2700,S7,test,0.7272727489471436,0.5523809523809523
7,2700,S8,test,0.7272727489471436,0.5897435897435898
7,2700,S9,test,0.7272727489471436,0.7146464646464646
7,3600,S11,test,0.9090909361839294,0.6363636363636364
7,3600,S13,test,0.6363636255264282,0.4682539682539682
7,3600,S15,test,0.7272727489471436,0.5252525252525252
7,3600,S16,test,0.7272727489471436,0.5299145299145299
7,3600,S3,test,0.7272727489471436,0.48888888888888893
7,3600,S5,test,0.8181818127632141,0.5696969696969697
7,3600,S6,test,0.6363636255264282,0.4468864468864469
7,3600,S7,test,0.7272727489471436,0.5523809523809523
7,3600,S8,test,0.7272727489471436,0.5897435897435898
7,3600,S9,test,0.7272727489471436,0.5333333333333333
7,4500,S11,test,0.9090909361839294,0.6363636363636364
7,4500,S13,test,0.6363636255264282,0.47863247863247865
7,4500,S15,test,0.7272727489471436,0.5277777777777778
7,4500,S16,test,0.8181818127632141,0.7410256410256411
7,4500,S3,test,0.7272727489471436,0.48888888888888893
7,4500,S5,test,0.9090909361839294,0.6410256410256411
7,4500,S6,test,0.6363636255264282,0.4468864468864469
7,4500,S7,test,0.8181818127632141,0.7410256410256411
7,4500,S8,test,0.7272727489471436,0.5897435897435898
7,4500,S9,test,0.7272727489471436,0.5333333333333333
7,5400,S11,test,0.9090909361839294,0.6363636363636364
7,5400,S13,test,0.6363636255264282,0.4682539682539682
7,5400,S15,test,0.8181818127632141,0.6
7,5400,S16,test,0.8181818127632141,0.7410256410256411
7,5400,S3,test,0.8181818127632141,0.5714285714285714
7,5400,S5,test,0.8181818127632141,0.5740740740740741
7,5400,S6,test,0.7272727489471436,0.5277777777777778
7,5400,S7,test,0.8181818127632141,0.7410256410256411
7,5400,S8,test,0.7272727489471436,0.5897435897435898
7,5400,S9,test,0.8181818127632141,0.7851851851851852
7,6300,S11,test,1.0,1.0
7,6300,S13,test,0.6363636255264282,0.47863247863247865
7,6300,S15,test,0.8181818127632141,0.5993265993265994
7,6300,S16,test,0.8181818127632141,0.7410256410256411
7,6300,S3,test,0.8181818127632141,0.5714285714285714
7,6300,S5,test,0.8181818127632141,0.5696969696969697
7,6300,S6,test,0.6363636255264282,0.4468864468864469
7,6300,S7,test,0.8181818127632141,0.7410256410256411
7,6300,S8,test,0.6363636255264282,0.5047619047619047
7,6300,S9,test,0.8181818127632141,0.7851851851851852
7,7200,S11,test,1.0,1.0
7,7200,S13,test,0.6363636255264282,0.4682539682539682
7,7200,S15,test,0.7272727489471436,0.5421245421245421
7,7200,S16,test,0.8181818127632141,0.7410256410256411
7,7200,S3,test,0.7272727489471436,0.48888888888888893
7,7200,S5,test,0.8181818127632141,0.6111111111111112
7,7200,S6,test,0.6363636255264282,0.4468864468864469
7,7200,S7,test,0.8181818127632141,0.7410256410256411
7,7200,S8,test,0.8181818127632141,0.7777777777777778
7,7200,S9,test,0.8181818127632141,0.7851851851851852
7,8100,S11,test,1.0,1.0
7,8100,S13,test,0.6363636255264282,0.4682539682539682
7,8100,S15,test,0.7272727489471436,0.5277777777777778
7,8100,S16,test,0.9090909361839294,0.9076923076923077
7,8100,S3,test,0.8181818127632141,0.5714285714285714
7,8100,S5,test,0.8181818127632141,0.5740740740740741
7,8100,S6,test,0.6363636255264282,0.4468864468864469
7,8100,S7,test,0.8181818127632141,0.7410256410256411
7,8100,S8,test,0.8181818127632141,0.7777777777777778
7,8100,S9,test,0.8181818127632141,0.7851851851851852
7,9000,S11,test,1.0,1.0
7,9000,S13,test,0.6363636255264282,0.4696969696969697
7,9000,S15,test,0.7272727489471436,0.5277777777777778
7,9000,S16,test,0.9090909361839294,0.9076923076923077
7,9000,S3,test,0.8181818127632141,0.5714285714285714
7,9000,S5,test,0.8181818127632141,0.5696969696969697
7,9000,S6,test,0.7272727489471436,0.5277777777777778
7,9000,S7,test,0.8181818127632141,0.7410256410256411
7,9000,S8,test,0.8181818127632141,0.7777777777777778
7,9000,S9,test,0.8181818127632141,0.7851851851851852
7,9900,S11,test,1.0,1.0
7,9900,S13,test,0.6363636255264282,0.5047619047619047
7,9900,S15,test,0.8181818127632141,0.5993265993265994
7,9900,S16,test,0.9090909361839294,0.9076923076923077
7,9900,S3,test,0.9090909361839294,0.9267399267399267
7,9900,S5,test,0.8181818127632141,0.6111111111111112
7,9900,S6,test,0.7272727489471436,0.5277777777777778
7,9900,S7,test,0.7272727489471436,0.6666666666666666
7,9900,S8,test,0.7272727489471436,0.6897435897435898
7,9900,S9,test,0.7272727489471436,0.6833333333333332
7,10800,S11,test,1.0,1.0
7,10800,S13,test,0.6363636255264282,0.4682539682539682
7,10800,S15,test,0.9090909361839294,0.8518518518518517
7,10800,S16,test,0.9090909361839294,0.9076923076923077
7,10800,S3,test,0.8181818127632141,0.5714285714285714
7,10800,S5,test,0.8181818127632141,0.5993265993265994
7,10800,S6,test,0.7272727489471436,0.5277777777777778
7,10800,S7,test,0.8181818127632141,0.7410256410256411
7,10800,S8,test,0.8181818127632141,0.7777777777777778
7,10800,S9,test,0.8181818127632141,0.7851851851851852
7,11700,S11,test,1.0,1.0
7,11700,S13,test,0.6363636255264282,0.4696969696969697
7,11700,S15,test,0.8181818127632141,0.5993265993265994
7,11700,S16,test,0.9090909361839294,0.9076923076923077
7,11700,S3,test,0.9090909361839294,0.9267399267399267
7,11700,S5,test,0.8181818127632141,0.5993265993265994
7,11700,S6,test,0.7272727489471436,0.5277777777777778
7,11700,S7,test,0.8181818127632141,0.7410256410256411
7,11700,S8,test,0.7272727489471436,0.6897435897435898
7,11700,S9,test,0.9090909361839294,0.9259259259259259
7,12600,S11,test,1.0,1.0
7,12600,S13,test,0.6363636255264282,0.4682539682539682
7,12600,S15,test,0.8181818127632141,0.5993265993265994
7,12600,S16,test,0.9090909361839294,0.9076923076923077
7,12600,S3,test,0.6363636255264282,0.4000000000000001
7,12600,S5,test,0.8181818127632141,0.5993265993265994
7,12600,S6,test,0.7272727489471436,0.5277777777777778
7,12600,S7,test,0.8181818127632141,0.7410256410256411
7,12600,S8,test,0.6363636255264282,0.5714285714285715
7,12600,S9,test,0.7272727489471436,0.6857142857142856
7,13500,S11,test,1.0,1.0
7,13500,S13,test,0.6363636255264282,0.47863247863247865
7,13500,S15,test,0.8181818127632141,0.5993265993265994
7,13500,S16,test,0.9090909361839294,0.9076923076923077
7,13500,S3,test,0.8181818127632141,0.5714285714285714
7,13500,S5,test,0.7272727489471436,0.5333333333333333
7,13500,S6,test,0.7272727489471436,0.5277777777777778
7,13500,S7,test,0.8181818127632141,0.7410256410256411
7,13500,S8,test,0.8181818127632141,0.7777777777777778
7,13500,S9,test,0.8181818127632141,0.7851851851851852
7,14400,S11,test,1.0,1.0
7,14400,S13,test,0.6363636255264282,0.5047619047619047
7,14400,S15,test,0.8181818127632141,0.5993265993265994
7,14400,S16,test,0.9090909361839294,0.9076923076923077
7,14400,S3,test,0.9090909361839294,0.9267399267399267
7,14400,S5,test,0.7272727489471436,0.562962962962963
7,14400,S6,test,0.7272727489471436,0.6666666666666666
7,14400,S7,test,0.7272727489471436,0.6666666666666666
7,14400,S8,test,0.8181818127632141,0.7777777777777778
7,14400,S9,test,0.8181818127632141,0.7851851851851852
7,15300,S11,test,1.0,1.0
7,15300,S13,test,0.6363636255264282,0.5047619047619047
7,15300,S15,test,0.7272727489471436,0.5421245421245421
7,15300,S16,test,0.9090909361839294,0.9076923076923077
7,15300,S3,test,0.6363636255264282,0.4000000000000001
7,15300,S5,test,0.8181818127632141,0.5993265993265994
7,15300,S6,test,0.6363636255264282,0.5564102564102564
7,15300,S7,test,0.7272727489471436,0.6666666666666666
7,15300,S8,test,0.7272727489471436,0.6897435897435898
7,15300,S9,test,0.9090909361839294,0.9259259259259259
7,16200,S11,test,1.0,1.0
7,16200,S13,test,0.6363636255264282,0.4696969696969697
7,16200,S15,test,0.8181818127632141,0.5993265993265994
7,16200,S16,test,0.9090909361839294,0.9076923076923077
7,16200,S3,test,0.8181818127632141,0.7521367521367521
7,16200,S5,test,0.8181818127632141,0.5993265993265994
7,16200,S6,test,0.7272727489471436,0.6666666666666666
7,16200,S7,test,0.7272727489471436,0.6666666666666666
7,16200,S8,test,0.5454545617103577,0.38888888888888884
7,16200,S9,test,0.9090909361839294,0.9259259259259259
7,17100,S11,test,1.0,1.0
7,17100,S13,test,0.6363636255264282,0.5047619047619047
7,17100,S15,test,0.8181818127632141,0.5993265993265994
7,17100,S16,test,0.9090909361839294,0.9076923076923077
7,17100,S3,test,0.7272727489471436,0.5079365079365079
7,17100,S5,test,0.8181818127632141,0.5993265993265994
7,17100,S6,test,0.7272727489471436,0.6666666666666666
7,17100,S7,test,0.7272727489471436,0.6076923076923078
7,17100,S8,test,0.5454545617103577,0.38888888888888884
7,17100,S9,test,0.9090909361839294,0.9259259259259259
7,18000,S11,test,1.0,1.0
7,18000,S13,test,0.6363636255264282,0.4696969696969697
7,18000,S15,test,0.7272727489471436,0.5333333333333333
7,18000,S16,test,0.9090909361839294,0.9076923076923077
7,18000,S3,test,0.8181818127632141,0.5714285714285714
7,18000,S5,test,0.8181818127632141,0.5993265993265994
7,18000,S6,test,0.7272727489471436,0.5277777777777778
7,18000,S7,test,0.7272727489471436,0.6076923076923078
7,18000,S8,test,0.8181818127632141,0.7777777777777778
7,18000,S9,test,0.9090909361839294,0.9259259259259259
7,18900,S11,test,1.0,1.0
7,18900,S13,test,0.6363636255264282,0.4696969696969697
7,18900,S15,test,0.8181818127632141,0.5993265993265994
7,18900,S16,test,0.9090909361839294,0.9076923076923077
7,18900,S3,test,0.7272727489471436,0.6412698412698412
7,18900,S5,test,0.8181818127632141,0.5993265993265994
7,18900,S6,test,0.6363636255264282,0.5564102564102564
7,18900,S7,test,0.7272727489471436,0.6076923076923078
7,18900,S8,test,0.8181818127632141,0.7777777777777778
7,18900,S9,test,0.9090909361839294,0.9259259259259259
7,19800,S11,test,1.0,1.0
7,19800,S13,test,0.7272727489471436,0.6666666666666666
7,19800,S15,test,0.8181818127632141,0.5993265993265994
7,19800,S16,test,0.9090909361839294,0.9076923076923077
7,19800,S3,test,0.8181818127632141,0.8412698412698413
7,19800,S5,test,0.8181818127632141,0.5993265993265994
7,19800,S6,test,0.8181818127632141,0.5993265993265994
7,19800,S7,test,0.7272727489471436,0.6076923076923078
7,19800,S8,test,0.8181818127632141,0.7777777777777778
7,19800,S9,test,0.8181818127632141,0.7851851851851852
7,20700,S11,test,1.0,1.0
7,20700,S13,test,0.6363636255264282,0.5047619047619047
7,20700,S15,test,0.8181818127632141,0.5993265993265994
7,20700,S16,test,0.9090909361839294,0.9076923076923077
7,20700,S3,test,0.7272727489471436,0.6412698412698412
7,20700,S5,test,0.8181818127632141,0.5993265993265994
7,20700,S6,test,0.6363636255264282,0.5564102564102564
7,20700,S7,test,0.7272727489471436,0.6076923076923078
7,20700,S8,test,0.8181818127632141,0.7777777777777778
7,20700,S9,test,0.9090909361839294,0.9259259259259259
7,21600,S11,test,1.0,1.0
7,21600,S13,test,0.7272727489471436,0.6897435897435898
7,21600,S15,test,0.8181818127632141,0.5993265993265994
7,21600,S16,test,0.9090909361839294,0.9076923076923077
7,21600,S3,test,0.9090909361839294,0.9267399267399267
7,21600,S5,test,0.8181818127632141,0.5993265993265994
7,21600,S6,test,0.7272727489471436,0.6666666666666666
7,21600,S7,test,0.7272727489471436,0.6666666666666666
7,21600,S8,test,0.7272727489471436,0.6897435897435898
7,21600,S9,test,0.8181818127632141,0.7851851851851852
7,22500,S11,test,1.0,1.0
7,22500,S13,test,0.7272727489471436,0.6601731601731601
7,22500,S15,test,0.7272727489471436,0.5277777777777778
7,22500,S16,test,0.9090909361839294,0.9076923076923077
7,22500,S3,test,0.9090909361839294,0.9267399267399267
7,22500,S5,test,0.8181818127632141,0.5993265993265994
7,22500,S6,test,0.7272727489471436,0.6666666666666666
7,22500,S7,test,0.7272727489471436,0.6076923076923078
7,22500,S8,test,0.8181818127632141,0.7777777777777778
7,22500,S9,test,0.9090909361839294,0.9259259259259259
7,23400,S11,test,1.0,1.0
7,23400,S13,test,0.7272727489471436,0.6601731601731601
7,23400,S15,test,0.9090909361839294,0.8518518518518517
7,23400,S16,test,0.9090909361839294,0.9076923076923077
7,23400,S3,test,0.9090909361839294,0.9267399267399267
7,23400,S5,test,0.8181818127632141,0.5993265993265994
7,23400,S6,test,0.6363636255264282,0.5564102564102564
7,23400,S7,test,0.7272727489471436,0.6076923076923078
7,23400,S8,test,0.6363636255264282,0.5714285714285715
7,23400,S9,test,0.8181818127632141,0.7857142857142857
7,24300,S11,test,1.0,1.0
7,24300,S13,test,0.7272727489471436,0.6601731601731601
7,24300,S15,test,0.8181818127632141,0.5993265993265994
7,24300,S16,test,0.9090909361839294,0.9076923076923077
7,24300,S3,test,0.9090909361839294,0.9267399267399267
7,24300,S5,test,0.8181818127632141,0.5993265993265994
7,24300,S6,test,0.7272727489471436,0.6666666666666666
7,24300,S7,test,0.7272727489471436,0.6076923076923078
7,24300,S8,test,0.8181818127632141,0.7777777777777778
7,24300,S9,test,0.9090909361839294,0.8857142857142857
7,25200,S11,test,1.0,1.0
7,25200,S13,test,0.6363636255264282,0.4696969696969697
7,25200,S15,test,0.7272727489471436,0.5333333333333333
7,25200,S16,test,0.9090909361839294,0.9076923076923077
7,25200,S3,test,0.9090909361839294,0.9267399267399267
7,25200,S5,test,0.8181818127632141,0.5993265993265994
7,25200,S6,test,0.7272727489471436,0.5277777777777778
7,25200,S7,test,0.7272727489471436,0.6076923076923078
7,25200,S8,test,0.8181818127632141,0.7777777777777778
7,25200,S9,test,0.8181818127632141,0.812962962962963
7,26100,S11,test,1.0,1.0
7,26100,S13,test,0.6363636255264282,0.4696969696969697
7,26100,S15,test,0.7272727489471436,0.5333333333333333
7,26100,S16,test,0.9090909361839294,0.9076923076923077
7,26100,S3,test,0.8181818127632141,0.7521367521367521
7,26100,S5,test,0.8181818127632141,0.5993265993265994
7,26100,S6,test,0.7272727489471436,0.5530303030303031
7,26100,S7,test,0.8181818127632141,0.7410256410256411
7,26100,S8,test,0.7272727489471436,0.6897435897435898
7,26100,S9,test,0.9090909361839294,0.8857142857142857
7,27000,S11,test,1.0,1.0
7,27000,S13,test,0.7272727489471436,0.6897435897435898
7,27000,S15,test,0.7272727489471436,0.5333333333333333
7,27000,S16,test,0.9090909361839294,0.9076923076923077
7,27000,S3,test,0.7272727489471436,0.6412698412698412
7,27000,S5,test,0.8181818127632141,0.5993265993265994
7,27000,S6,test,0.7272727489471436,0.5277777777777778
7,27000,S7,test,0.7272727489471436,0.6076923076923078
7,27000,S8,test,0.8181818127632141,0.7777777777777778
7,27000,S9,test,0.9090909361839294,0.9259259259259259
7,27900,S11,test,1.0,1.0
7,27900,S13,test,0.7272727489471436,0.6601731601731601
7,27900,S15,test,0.7272727489471436,0.5333333333333333
7,27900,S16,test,0.9090909361839294,0.9076923076923077
7,27900,S3,test,0.8181818127632141,0.7521367521367521
7,27900,S5,test,0.8181818127632141,0.5993265993265994
7,27900,S6,test,0.7272727489471436,0.6666666666666666
7,27900,S7,test,0.7272727489471436,0.6076923076923078
7,27900,S8,test,0.8181818127632141,0.7777777777777778
7,27900,S9,test,0.9090909361839294,0.9259259259259259
7,28800,S11,test,1.0,1.0
7,28800,S13,test,0.7272727489471436,0.6601731601731601
7,28800,S15,test,0.8181818127632141,0.5993265993265994
