image,memory,category,section,address,bytes,object,source_file,source_sha256
pulse,flash,base_firmware,.exc_vector_table._vector_table_section,0x0,64,zephyr/arch/arch/arm/core/cortex_m/libarch__arm__core__cortex_m.a(vector_table.S.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.gnu.linkonce.irq_vector_table,0x40,1084,zephyr/CMakeFiles/zephyr_final.dir/isr_tables.c.obj,results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text,0x100f8,236,C:/ncs/toolchains/dcbdc366a1/opt/zephyr-sdk/gnu/arm-zephyr-eabi/bin/../lib/gcc/arm-zephyr-eabi/14.3.0/../../../../arm-zephyr-eabi/lib/thumb/v8-m.main+fp/hard\libc.a(memcpy.S.o),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text,0x101e4,888,C:/ncs/toolchains/dcbdc366a1/opt/zephyr-sdk/gnu/arm-zephyr-eabi/bin/../lib/gcc/arm-zephyr-eabi/14.3.0/thumb/v8-m.main+fp/hard\libgcc.a(_arm_addsubdf3.o),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text,0x1055c,1060,C:/ncs/toolchains/dcbdc366a1/opt/zephyr-sdk/gnu/arm-zephyr-eabi/bin/../lib/gcc/arm-zephyr-eabi/14.3.0/thumb/v8-m.main+fp/hard\libgcc.a(_arm_muldivdf3.o),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text,0x10980,272,C:/ncs/toolchains/dcbdc366a1/opt/zephyr-sdk/gnu/arm-zephyr-eabi/bin/../lib/gcc/arm-zephyr-eabi/14.3.0/thumb/v8-m.main+fp/hard\libgcc.a(_arm_cmpdf2.o),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text,0x10a90,160,C:/ncs/toolchains/dcbdc366a1/opt/zephyr-sdk/gnu/arm-zephyr-eabi/bin/../lib/gcc/arm-zephyr-eabi/14.3.0/thumb/v8-m.main+fp/hard\libgcc.a(_arm_truncdfsf2.o),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text,0x10b30,160,C:/ncs/toolchains/dcbdc366a1/opt/zephyr-sdk/gnu/arm-zephyr-eabi/bin/../lib/gcc/arm-zephyr-eabi/14.3.0/thumb/v8-m.main+fp/hard\libgcc.a(_aeabi_ldivmod.o),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text,0x10bd0,48,C:/ncs/toolchains/dcbdc366a1/opt/zephyr-sdk/gnu/arm-zephyr-eabi/bin/../lib/gcc/arm-zephyr-eabi/14.3.0/thumb/v8-m.main+fp/hard\libgcc.a(_aeabi_uldivmod.o),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text,0x10c00,4,C:/ncs/toolchains/dcbdc366a1/opt/zephyr-sdk/gnu/arm-zephyr-eabi/bin/../lib/gcc/arm-zephyr-eabi/14.3.0/thumb/v8-m.main+fp/hard\libgcc.a(_dvmd_tls.o),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text,0x16754,154,C:/ncs/toolchains/dcbdc366a1/opt/zephyr-sdk/gnu/arm-zephyr-eabi/bin/../lib/gcc/arm-zephyr-eabi/14.3.0/../../../../arm-zephyr-eabi/lib/thumb/v8-m.main+fp/hard\libc.a(memset.S.o),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text,0x167ee,698,C:/ncs/toolchains/dcbdc366a1/opt/zephyr-sdk/gnu/arm-zephyr-eabi/bin/../lib/gcc/arm-zephyr-eabi/14.3.0/thumb/v8-m.main+fp/hard\libgcc.a(_udivmoddi4.o),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.parse_step_counter,0x16aa8,208,app/libapp.a(bhi360.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.parse_meta_event,0x16b78,80,app/libapp.a(bhi360.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.bhi360_stop_phy_sensor_streams,0x16bc8,188,app/libapp.a(bhi360.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,pulse_state,.text.main,0x16c88,2320,app/libapp.a(pulse_benchmark_main.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,head,.text.pulse_head_batch_gradient_from_embeddings,0x17598,332,app/libapp.a(pulse_math.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,pulse_state,.text.pulse_peer_select,0x176e8,600,app/libapp.a(pulse_peers.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,protocol_buffers,.text.gatt_write_encode,0x17940,72,zephyr/subsys/bluetooth/host/libsubsys__bluetooth__host.a(gatt.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,protocol_buffers,.text.gatt_prepare_write_encode,0x17988,80,zephyr/subsys/bluetooth/host/libsubsys__bluetooth__host.a(gatt.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,protocol_buffers,.text.bt_gatt_write_without_response_cb,0x179d8,144,zephyr/subsys/bluetooth/host/libsubsys__bluetooth__host.a(gatt.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.mpsl_low_prio_init,0x17a68,124,modules/nrf/subsys/mpsl/init/lib..__nrf__subsys__mpsl__init.a(mpsl_init.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.mpsl_calibration_work_handler,0x17ae8,60,modules/nrf/subsys/mpsl/init/lib..__nrf__subsys__mpsl__init.a(mpsl_init.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.z_impl_k_msgq_put,0x17b28,220,zephyr/kernel/libkernel.a(msg_q.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.z_impl_k_mutex_unlock,0x17c08,184,zephyr/kernel/libkernel.a(mutex.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.z_impl_k_sem_give,0x17cc0,116,zephyr/kernel/libkernel.a(sem.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.z_impl_k_sem_reset,0x17d38,140,zephyr/kernel/libkernel.a(sem.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.work_queue_main,0x17dc8,360,zephyr/kernel/libkernel.a(work.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.k_work_queue_start,0x17f30,132,zephyr/kernel/libkernel.a(work.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.z_dummy_thread_init,0x17fb8,44,zephyr/kernel/libkernel.a(thread.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.z_thread_timeout,0x17fe8,96,zephyr/kernel/libkernel.a(sched.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.z_unpend_thread_no_timeout,0x18048,64,zephyr/kernel/libkernel.a(sched.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.z_sched_wake_thread_locked,0x18088,56,zephyr/kernel/libkernel.a(sched.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.z_unpend1_no_timeout,0x180c0,88,zephyr/kernel/libkernel.a(sched.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.z_sched_wake,0x18118,120,zephyr/kernel/libkernel.a(sched.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.sys_clock_announce_locked,0x18190,324,zephyr/kernel/libkernel.a(timeout.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.k_timer_init,0x182d8,40,zephyr/kernel/libkernel.a(timer.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.cracen_get_key_slot,0x18300,104,modules/nrf/subsys/nrf_security/src/drivers/cracen/libcracen_psa_driver.a(cracen_psa_key_management.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.sx_pk_init,0x18368,80,modules/nrf/subsys/nrf_security/src/drivers/cracen/libcracen_psa_driver.a(pk_baremetal.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.nrf_security_event_wait,0x183b8,32,modules/nrf/subsys/nrf_security/src/libnrf_security_utils.a(nrf_security_events.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.log,0x183d8,916,C:/ncs/toolchains/dcbdc366a1/opt/zephyr-sdk/gnu/arm-zephyr-eabi/bin/../lib/gcc/arm-zephyr-eabi/14.3.0/../../../../arm-zephyr-eabi/lib/thumb/v8-m.main+fp/hard\libc.a(libm_math_s_log.c.o),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.logf,0x18770,596,C:/ncs/toolchains/dcbdc366a1/opt/zephyr-sdk/gnu/arm-zephyr-eabi/bin/../lib/gcc/arm-zephyr-eabi/14.3.0/../../../../arm-zephyr-eabi/lib/thumb/v8-m.main+fp/hard\libc.a(libm_math_sf_log.c.o),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.__math_divzero,0x189c8,32,C:/ncs/toolchains/dcbdc366a1/opt/zephyr-sdk/gnu/arm-zephyr-eabi/bin/../lib/gcc/arm-zephyr-eabi/14.3.0/../../../../arm-zephyr-eabi/lib/thumb/v8-m.main+fp/hard\libc.a(libm_common_math_err_divzero.c.o),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.__math_invalid,0x189e8,24,C:/ncs/toolchains/dcbdc366a1/opt/zephyr-sdk/gnu/arm-zephyr-eabi/bin/../lib/gcc/arm-zephyr-eabi/14.3.0/../../../../arm-zephyr-eabi/lib/thumb/v8-m.main+fp/hard\libc.a(libm_common_math_err_invalid.c.o),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text._OffsetAbsSyms,0x18a00,4,zephyr/CMakeFiles/offsets.dir/./arch/arm/core/offsets/offsets.c.obj,results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.device_driver_event_init,0x18a04,60,app/libapp.a(device_driver_events.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.device_driver_event_get_queue,0x18a40,20,app/libapp.a(device_driver_events.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.device_driver_event_post,0x18a54,56,app/libapp.a(device_driver_events.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.device_driver_event_post_isr,0x18a8c,56,app/libapp.a(device_driver_events.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.device_driver_event_wait,0x18ac4,44,app/libapp.a(device_driver_events.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.device_driver_events_init_hook,0x18af0,8,app/libapp.a(device_driver_events_init.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.device_manager_translate_imu,0x18af8,452,app/libapp.a(device_manager.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.device_manager_thread_fn,0x18cbc,56,app/libapp.a(device_manager.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.device_manager_get_default_config,0x18cf4,20,app/libapp.a(device_manager.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.device_manager_config_device,0x18d08,68,app/libapp.a(device_manager.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.device_manager_config,0x18d4c,96,app/libapp.a(device_manager.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.device_manager_init,0x18dac,12,app/libapp.a(device_manager.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.device_manager_start,0x18db8,196,app/libapp.a(device_manager.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.sys_spi_init,0x18e7c,40,app/libapp.a(sys_spi.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.sys_spi_is_ready,0x18ea4,36,app/libapp.a(sys_spi.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.sys_spi_lock,0x18ec8,100,app/libapp.a(sys_spi.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.sys_spi_unlock,0x18f2c,80,app/libapp.a(sys_spi.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.sys_spi_write,0x18f7c,76,app/libapp.a(sys_spi.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.sys_spi_read,0x18fc8,76,app/libapp.a(sys_spi.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.daughter_if_gpio_claim,0x19014,84,app/libapp.a(daughter_if.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.daughter_if_gpio_release,0x19068,52,app/libapp.a(daughter_if.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.bhi360_irq_callback,0x1909c,40,app/libapp.a(bhi360.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.bhi360_phy_sensor_stream_timer_callback,0x190c4,12,app/libapp.a(bhi360.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.bhi360_delay_us,0x190d0,4,app/libapp.a(bhi360.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.parse_gyro,0x190d4,184,app/libapp.a(bhi360.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.parse_linear_acceleration,0x1918c,184,app/libapp.a(bhi360.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.parse_quaternion,0x19244,188,app/libapp.a(bhi360.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.bhi360_copy_stream,0x19300,104,app/libapp.a(bhi360.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.bhi360_spi_read,0x19368,208,app/libapp.a(bhi360.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.bhi360_spi_write,0x19438,200,app/libapp.a(bhi360.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.parse_activity,0x19500,172,app/libapp.a(bhi360.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.parse_scalar_event,0x195ac,328,app/libapp.a(bhi360.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.bhi360_init,0x196f4,400,app/libapp.a(bhi360.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.bhi360_is_ready,0x19884,28,app/libapp.a(bhi360.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.bhi360_get_default_config,0x198a0,16,app/libapp.a(bhi360.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.bhi360_start_phy_sensor_streams,0x198b0,240,app/libapp.a(bhi360.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.bhi360_stop_periodic_timer,0x199a0,188,app/libapp.a(bhi360.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.bhi360_irq_handler,0x19a5c,484,app/libapp.a(bhi360.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.bhi360_config,0x19c40,792,app/libapp.a(bhi360.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.bhi360_copy_quaternion,0x19f58,32,app/libapp.a(bhi360.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.bhi360_copy_linear_acceleration,0x19f78,32,app/libapp.a(bhi360.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.bhi360_copy_gyro,0x19f98,32,app/libapp.a(bhi360.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.rtc_settings_set,0x19fb8,100,app/libapp.a(rtc.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.rtc_arm_periodic,0x1a01c,136,app/libapp.a(rtc.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.rtc_get_timestamp_us,0x1a0a4,116,app/libapp.a(rtc.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.rtc_enable_minute_alarm,0x1a118,44,app/libapp.a(rtc.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.parse_fifo,0x1a144,492,app/libapp.a(bhy2.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.bhy2_get_and_process_fifo,0x1a330,380,app/libapp.a(bhy2.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.bhy2_set_virt_sensor_cfg,0x1a4ac,12,app/libapp.a(bhy2.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.bhy2_set_fifo_wmark_wkup,0x1a4b8,108,app/libapp.a(bhy2.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.bhy2_get_fifo_wmark_wkup,0x1a524,56,app/libapp.a(bhy2.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.bhy2_set_fifo_wmark_nonwkup,0x1a55c,104,app/libapp.a(bhy2.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.bhy2_get_fifo_wmark_nonwkup,0x1a5c4,56,app/libapp.a(bhy2.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.bhy2_get_product_id,0x1a5fc,12,app/libapp.a(bhy2.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.bhy2_get_kernel_version,0x1a608,12,app/libapp.a(bhy2.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.bhy2_get_boot_status,0x1a614,12,app/libapp.a(bhy2.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.bhy2_upload_firmware_to_ram_partly,0x1a620,24,app/libapp.a(bhy2.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,base_firmware,.text.bhy2_boot_from_ram,0x1a638,12,app/libapp.a(bhy2.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
